Python,3-5年,本科,全职,C轮,北京,15K-25K,节日礼物;股票期权;带薪年假;年度旅游,会找房（北京）网络技术有限公司
python工程师,1-3年,本科,全职,C轮,北京,8k-15k,节日礼物;技能培训;带薪年假;岗位晋升,北京卡车之家信息技术股份有限公司
Python工程师,3-5年,本科,全职,B轮,北京,15k-25k,五险一金;带薪年假;节日礼物;年度旅游,北京点石经纬科技有限公司
Python开发工程师,3-5年,本科,全职,上市公司,北京,20k-30k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
Python开发工程师,3-5年,本科,全职,D轮及以上,北京,20k-40k,年底双薪;股票期权;带薪年假;定期体检,北京智者天下科技有限公司
高级Python开发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,弹性工作;扁平管理;氛围好;年度体检,北京蚂蜂窝网络科技有限公司
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-30k,股票期权;交通补助;带薪年假;扁平管理,北京第三石科技发展有限公司
Python开发工程师,1-3年,本科,全职,C轮,上海,20k-40k,年度旅游;节日礼物;专项奖金;带薪年假,行吟信息科技（上海）有限公司
python工程师,1-3年,本科,全职,A轮,北京,15k-30k,交通补助;午餐补助;项目奖金;季度奖金,北京乐信圣文科技有限责任公司
服务端高级开发工程师Golang/Python,3-5年,本科,全职,D轮及以上,北京,35k-45k,技能培训;绩效奖金;岗位晋升;领导好,北京三快在线科技有限公司
Python开发工程师,1-3年,本科,全职,A轮,北京,15k-25k,扁平管理;最优秀的伙伴;弹性工作,北京启明合心科技有限公司
python开发工程师,1-3年,不限,全职,不需要融资,杭州,6k-10k,技能培训;带薪年假;岗位晋升;年度旅游,杭州健培科技有限公司
Python开发工程师,3-5年,大专,全职,不需要融资,上海,20k-35k,,上海基分文化传播有限公司
高级Python开发工程师,3-5年,本科,全职,不需要融资,北京,25k-45k,年底双薪;免费两餐;Geek范;免费健身,北京智分科技有限公司
python开发,1-3年,本科,全职,B轮,广州,10k-15k,股票期权;专项奖金;带薪年假;绩效奖金,广州机智云物联网科技有限公司
Python,3-5年,本科,全职,C轮,北京,15K-25K,节日礼物;股票期权;带薪年假;年度旅游,会找房（北京）网络技术有限公司
python工程师,1-3年,本科,全职,C轮,北京,8k-15k,节日礼物;技能培训;带薪年假;岗位晋升,北京卡车之家信息技术股份有限公司
Python工程师,3-5年,本科,全职,B轮,北京,15k-25k,五险一金;带薪年假;节日礼物;年度旅游,北京点石经纬科技有限公司
Python开发工程师,3-5年,本科,全职,上市公司,北京,20k-30k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
Python开发工程师,3-5年,本科,全职,D轮及以上,北京,20k-40k,年底双薪;股票期权;带薪年假;定期体检,北京智者天下科技有限公司
高级Python开发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,弹性工作;扁平管理;氛围好;年度体检,北京蚂蜂窝网络科技有限公司
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-30k,股票期权;交通补助;带薪年假;扁平管理,北京第三石科技发展有限公司
Python开发工程师,1-3年,本科,全职,C轮,上海,20k-40k,年度旅游;节日礼物;专项奖金;带薪年假,行吟信息科技（上海）有限公司
python工程师,1-3年,本科,全职,A轮,北京,15k-30k,交通补助;午餐补助;项目奖金;季度奖金,北京乐信圣文科技有限责任公司
服务端高级开发工程师Golang/Python,3-5年,本科,全职,D轮及以上,北京,35k-45k,技能培训;绩效奖金;岗位晋升;领导好,北京三快在线科技有限公司
Python开发工程师,1-3年,本科,全职,A轮,北京,15k-25k,扁平管理;最优秀的伙伴;弹性工作,北京启明合心科技有限公司
python开发工程师,1-3年,不限,全职,不需要融资,杭州,6k-10k,技能培训;带薪年假;岗位晋升;年度旅游,杭州健培科技有限公司
Python开发工程师,3-5年,大专,全职,不需要融资,上海,20k-35k,,上海基分文化传播有限公司
高级Python开发工程师,3-5年,本科,全职,不需要融资,北京,25k-45k,年底双薪;免费两餐;Geek范;免费健身,北京智分科技有限公司
python开发,1-3年,本科,全职,B轮,广州,10k-15k,股票期权;专项奖金;带薪年假;绩效奖金,广州机智云物联网科技有限公司
资深Python开发工程师,5-10年,本科,全职,上市公司,北京,25k-35k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
python开发,1-3年,大专,全职,不需要融资,杭州,8k-15k,技能培训;带薪年假;岗位晋升;年度旅游,杭州健培科技有限公司
python开发工程师,3-5年,本科,全职,C轮,北京,15k-25k,节日礼物;年底双薪;专项奖金;股票期权,北京一人一亩田网络科技有限公司
python工程师,3-5年,本科,全职,B轮,北京,15k-20k,五险一金;弹性工作;扁平管理;百万医疗,北京好巧国际旅行社有限公司
Python开发工程师,3-5年,本科,全职,不需要融资,北京,15k-30k,年底双薪;带薪年假;午餐补助;定期体检,北京奇安信科技有限公司
Python开发工程师,3-5年,本科,全职,C轮,北京,20k-40k,股票期权;绩效奖金;五险一金;带薪年假,北京智融时代科技有限公司
Python开发工程师,1-3年,本科,全职,C轮,武汉,15k-30k,年度旅游;节日礼物;专项奖金;带薪年假,行吟信息科技（上海）有限公司
python开发工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,股票期权;午餐补助;通讯津贴;绩效奖金,北京天广汇通科技有限公司
python研发工程师,1年以下,硕士,全职,B轮,北京,15k-30k,年底双薪;大数据;带薪年假;通讯津贴,北京数美时代科技有限公司
Python,1-3年,本科,全职,不需要融资,北京,13k-16k,年终分红;股票期权;五险一金;带薪年假,北京零用钱科技有限公司
Python工程师,1-3年,本科,全职,A轮,北京,15k-30k,年底双薪;股票期权;定期体检;带薪年假,北京摩尔妈咪网络科技有限公司
Python开发工程师（微软）,3-5年,本科,全职,不需要融资,北京,10k-15k,年底双薪;节日礼物;技能培训;免费班车,上海微创软件股份有限公司北京分公司
Python,5-10年,本科,全职,A轮,上海,15k-30k,股票期权;20天年假;高端医疗保险;学习基金计划,千言信息技术（上海）有限公司
python工程师,1年以下,大专,全职,B轮,北京,8k-15k,午餐补助;股票期权;定期体检;弹性工作,北京推想科技有限公司
Python 开发工程师,1-3年,本科,全职,B轮,武汉,8k-12k,技能培训;岗位晋升;管理规范;定期体检,北京深瞐科技有限公司
Python,3-5年,本科,全职,C轮,北京,15K-25K,节日礼物;股票期权;带薪年假;年度旅游,会找房（北京）网络技术有限公司
python工程师,1-3年,本科,全职,C轮,北京,8k-15k,节日礼物;技能培训;带薪年假;岗位晋升,北京卡车之家信息技术股份有限公司
Python工程师,3-5年,本科,全职,B轮,北京,15k-25k,五险一金;带薪年假;节日礼物;年度旅游,北京点石经纬科技有限公司
Python开发工程师,3-5年,本科,全职,上市公司,北京,20k-30k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
Python开发工程师,3-5年,本科,全职,D轮及以上,北京,20k-40k,年底双薪;股票期权;带薪年假;定期体检,北京智者天下科技有限公司
高级Python开发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,弹性工作;扁平管理;氛围好;年度体检,北京蚂蜂窝网络科技有限公司
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-30k,股票期权;交通补助;带薪年假;扁平管理,北京第三石科技发展有限公司
Python开发工程师,1-3年,本科,全职,C轮,上海,20k-40k,年度旅游;节日礼物;专项奖金;带薪年假,行吟信息科技（上海）有限公司
python工程师,1-3年,本科,全职,A轮,北京,15k-30k,交通补助;午餐补助;项目奖金;季度奖金,北京乐信圣文科技有限责任公司
服务端高级开发工程师Golang/Python,3-5年,本科,全职,D轮及以上,北京,35k-45k,技能培训;绩效奖金;岗位晋升;领导好,北京三快在线科技有限公司
Python开发工程师,1-3年,本科,全职,A轮,北京,15k-25k,扁平管理;最优秀的伙伴;弹性工作,北京启明合心科技有限公司
python开发工程师,1-3年,不限,全职,不需要融资,杭州,6k-10k,技能培训;带薪年假;岗位晋升;年度旅游,杭州健培科技有限公司
Python开发工程师,3-5年,大专,全职,不需要融资,上海,20k-35k,,上海基分文化传播有限公司
高级Python开发工程师,3-5年,本科,全职,不需要融资,北京,25k-45k,年底双薪;免费两餐;Geek范;免费健身,北京智分科技有限公司
python开发,1-3年,本科,全职,B轮,广州,10k-15k,股票期权;专项奖金;带薪年假;绩效奖金,广州机智云物联网科技有限公司
资深Python开发工程师,5-10年,本科,全职,上市公司,北京,25k-35k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
python开发,1-3年,大专,全职,不需要融资,杭州,8k-15k,技能培训;带薪年假;岗位晋升;年度旅游,杭州健培科技有限公司
python开发工程师,3-5年,本科,全职,C轮,北京,15k-25k,节日礼物;年底双薪;专项奖金;股票期权,北京一人一亩田网络科技有限公司
python工程师,3-5年,本科,全职,B轮,北京,15k-20k,五险一金;弹性工作;扁平管理;百万医疗,北京好巧国际旅行社有限公司
Python开发工程师,3-5年,本科,全职,不需要融资,北京,15k-30k,年底双薪;带薪年假;午餐补助;定期体检,北京奇安信科技有限公司
Python开发工程师,3-5年,本科,全职,C轮,北京,20k-40k,股票期权;绩效奖金;五险一金;带薪年假,北京智融时代科技有限公司
Python开发工程师,1-3年,本科,全职,C轮,武汉,15k-30k,年度旅游;节日礼物;专项奖金;带薪年假,行吟信息科技（上海）有限公司
python开发工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,股票期权;午餐补助;通讯津贴;绩效奖金,北京天广汇通科技有限公司
python研发工程师,1年以下,硕士,全职,B轮,北京,15k-30k,年底双薪;大数据;带薪年假;通讯津贴,北京数美时代科技有限公司
Python,1-3年,本科,全职,不需要融资,北京,13k-16k,年终分红;股票期权;五险一金;带薪年假,北京零用钱科技有限公司
Python工程师,1-3年,本科,全职,A轮,北京,15k-30k,年底双薪;股票期权;定期体检;带薪年假,北京摩尔妈咪网络科技有限公司
Python开发工程师（微软）,3-5年,本科,全职,不需要融资,北京,10k-15k,年底双薪;节日礼物;技能培训;免费班车,上海微创软件股份有限公司北京分公司
Python,5-10年,本科,全职,A轮,上海,15k-30k,股票期权;20天年假;高端医疗保险;学习基金计划,千言信息技术（上海）有限公司
python工程师,1年以下,大专,全职,B轮,北京,8k-15k,午餐补助;股票期权;定期体检;弹性工作,北京推想科技有限公司
Python 开发工程师,1-3年,本科,全职,B轮,武汉,8k-12k,技能培训;岗位晋升;管理规范;定期体检,北京深瞐科技有限公司
Python工程师,1-3年,本科,全职,上市公司,北京,15k-20k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
Python开发工程师[亦庄],不限,本科,全职,不需要融资,北京,15k-30k,五险一金;带薪年假;免费班车;领导好,北京天润融通科技有限公司
Python 开发工程师,1-3年,大专,全职,不需要融资,广州,8k-16k,股票期权;弹性工作;美女多;扁平管理,广东修炼科技股份有限公司
python研发工程师,3-5年,本科,全职,未融资,北京,15k-25k,技能培训;节日礼物;绩效奖金;岗位晋升,北京艾唯博瑞科技有限公司
Python 开发,3-5年,本科,全职,上市公司,深圳,15k-30k,专项奖金;绩效奖金;定期体检;节日福利,深圳贝尔创意科教有限公司
Python开发工程师,3-5年,本科,全职,B轮,深圳,15k-30k,五险一金;弹性工作;丰盛三餐;发展空间大,北京市商汤科技开发有限公司
Python,1-3年,本科,全职,B轮,北京,15k-30k,技能培训;专项奖金;带薪年假;绩效奖金,北京九州云动科技有限公司
Python,1-3年,不限,全职,B轮,北京,15k-30k,产品领先行业;关注学习本源;明星跨界团队;股票期权,光合新知（北京）科技有限公司
python工程师,1-3年,不限,全职,A轮,上海,10k-15k,股票期权;绩效奖金;岗位晋升;扁平管理,上海壤歌市场营销策划有限公司
高级Python开发工程师,3-5年,本科,全职,C轮,北京,20k-40k,股票期权;绩效奖金;五险一金;带薪年假,北京智融时代科技有限公司
Python开发工程师,1-3年,大专,全职,未融资,郑州,5k-10k,年底双薪;节日礼物;技能培训;绩效奖金,郑州创恒实业有限公司
python工程师,1年以下,大专,全职,B轮,大连,6k-12k,午餐补助;股票期权;定期体检;弹性工作,北京推想科技有限公司
高级Python研发工程师,3-5年,本科,全职,不需要融资,北京,25k-35k,专项奖金;带薪年假;年度旅游;扁平管理,掌阅科技股份有限公司
Python,1-3年,本科,全职,B轮,北京,20k-30k,带薪年假;弹性工作;免费班车;美女多,车好多旧机动车经纪(北京)有限公司
高级Python开发工程师,3-5年,本科,全职,A轮,北京,20k-40k,交通补助;午餐补助;项目奖金;季度奖金,北京乐信圣文科技有限责任公司
Python,3-5年,本科,全职,C轮,北京,15K-25K,节日礼物;股票期权;带薪年假;年度旅游,会找房（北京）网络技术有限公司
python工程师,1-3年,本科,全职,C轮,北京,8k-15k,节日礼物;技能培训;带薪年假;岗位晋升,北京卡车之家信息技术股份有限公司
Python工程师,3-5年,本科,全职,B轮,北京,15k-25k,五险一金;带薪年假;节日礼物;年度旅游,北京点石经纬科技有限公司
Python开发工程师,3-5年,本科,全职,上市公司,北京,20k-30k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
Python开发工程师,3-5年,本科,全职,D轮及以上,北京,20k-40k,年底双薪;股票期权;带薪年假;定期体检,北京智者天下科技有限公司
高级Python开发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,弹性工作;扁平管理;氛围好;年度体检,北京蚂蜂窝网络科技有限公司
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-30k,股票期权;交通补助;带薪年假;扁平管理,北京第三石科技发展有限公司
Python开发工程师,1-3年,本科,全职,C轮,上海,20k-40k,年度旅游;节日礼物;专项奖金;带薪年假,行吟信息科技（上海）有限公司
python工程师,1-3年,本科,全职,A轮,北京,15k-30k,交通补助;午餐补助;项目奖金;季度奖金,北京乐信圣文科技有限责任公司
服务端高级开发工程师Golang/Python,3-5年,本科,全职,D轮及以上,北京,35k-45k,技能培训;绩效奖金;岗位晋升;领导好,北京三快在线科技有限公司
Python开发工程师,1-3年,本科,全职,A轮,北京,15k-25k,扁平管理;最优秀的伙伴;弹性工作,北京启明合心科技有限公司
python开发工程师,1-3年,不限,全职,不需要融资,杭州,6k-10k,技能培训;带薪年假;岗位晋升;年度旅游,杭州健培科技有限公司
Python开发工程师,3-5年,大专,全职,不需要融资,上海,20k-35k,,上海基分文化传播有限公司
高级Python开发工程师,3-5年,本科,全职,不需要融资,北京,25k-45k,年底双薪;免费两餐;Geek范;免费健身,北京智分科技有限公司
python开发,1-3年,本科,全职,B轮,广州,10k-15k,股票期权;专项奖金;带薪年假;绩效奖金,广州机智云物联网科技有限公司
资深Python开发工程师,5-10年,本科,全职,上市公司,北京,25k-35k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
python开发,1-3年,大专,全职,不需要融资,杭州,8k-15k,技能培训;带薪年假;岗位晋升;年度旅游,杭州健培科技有限公司
python开发工程师,3-5年,本科,全职,C轮,北京,15k-25k,节日礼物;年底双薪;专项奖金;股票期权,北京一人一亩田网络科技有限公司
python工程师,3-5年,本科,全职,B轮,北京,15k-20k,五险一金;弹性工作;扁平管理;百万医疗,北京好巧国际旅行社有限公司
Python开发工程师,3-5年,本科,全职,不需要融资,北京,15k-30k,年底双薪;带薪年假;午餐补助;定期体检,北京奇安信科技有限公司
Python开发工程师,3-5年,本科,全职,C轮,北京,20k-40k,股票期权;绩效奖金;五险一金;带薪年假,北京智融时代科技有限公司
Python开发工程师,1-3年,本科,全职,C轮,武汉,15k-30k,年度旅游;节日礼物;专项奖金;带薪年假,行吟信息科技（上海）有限公司
python开发工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,股票期权;午餐补助;通讯津贴;绩效奖金,北京天广汇通科技有限公司
python研发工程师,1年以下,硕士,全职,B轮,北京,15k-30k,年底双薪;大数据;带薪年假;通讯津贴,北京数美时代科技有限公司
Python,1-3年,本科,全职,不需要融资,北京,13k-16k,年终分红;股票期权;五险一金;带薪年假,北京零用钱科技有限公司
Python工程师,1-3年,本科,全职,A轮,北京,15k-30k,年底双薪;股票期权;定期体检;带薪年假,北京摩尔妈咪网络科技有限公司
Python开发工程师（微软）,3-5年,本科,全职,不需要融资,北京,10k-15k,年底双薪;节日礼物;技能培训;免费班车,上海微创软件股份有限公司北京分公司
Python,5-10年,本科,全职,A轮,上海,15k-30k,股票期权;20天年假;高端医疗保险;学习基金计划,千言信息技术（上海）有限公司
python工程师,1年以下,大专,全职,B轮,北京,8k-15k,午餐补助;股票期权;定期体检;弹性工作,北京推想科技有限公司
Python 开发工程师,1-3年,本科,全职,B轮,武汉,8k-12k,技能培训;岗位晋升;管理规范;定期体检,北京深瞐科技有限公司
Python工程师,1-3年,本科,全职,上市公司,北京,15k-20k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
Python开发工程师[亦庄],不限,本科,全职,不需要融资,北京,15k-30k,五险一金;带薪年假;免费班车;领导好,北京天润融通科技有限公司
Python 开发工程师,1-3年,大专,全职,不需要融资,广州,8k-16k,股票期权;弹性工作;美女多;扁平管理,广东修炼科技股份有限公司
python研发工程师,3-5年,本科,全职,未融资,北京,15k-25k,技能培训;节日礼物;绩效奖金;岗位晋升,北京艾唯博瑞科技有限公司
Python 开发,3-5年,本科,全职,上市公司,深圳,15k-30k,专项奖金;绩效奖金;定期体检;节日福利,深圳贝尔创意科教有限公司
Python开发工程师,3-5年,本科,全职,B轮,深圳,15k-30k,五险一金;弹性工作;丰盛三餐;发展空间大,北京市商汤科技开发有限公司
Python,1-3年,本科,全职,B轮,北京,15k-30k,技能培训;专项奖金;带薪年假;绩效奖金,北京九州云动科技有限公司
Python,1-3年,不限,全职,B轮,北京,15k-30k,产品领先行业;关注学习本源;明星跨界团队;股票期权,光合新知（北京）科技有限公司
python工程师,1-3年,不限,全职,A轮,上海,10k-15k,股票期权;绩效奖金;岗位晋升;扁平管理,上海壤歌市场营销策划有限公司
高级Python开发工程师,3-5年,本科,全职,C轮,北京,20k-40k,股票期权;绩效奖金;五险一金;带薪年假,北京智融时代科技有限公司
Python开发工程师,1-3年,大专,全职,未融资,郑州,5k-10k,年底双薪;节日礼物;技能培训;绩效奖金,郑州创恒实业有限公司
python工程师,1年以下,大专,全职,B轮,大连,6k-12k,午餐补助;股票期权;定期体检;弹性工作,北京推想科技有限公司
高级Python研发工程师,3-5年,本科,全职,不需要融资,北京,25k-35k,专项奖金;带薪年假;年度旅游;扁平管理,掌阅科技股份有限公司
Python,1-3年,本科,全职,B轮,北京,20k-30k,带薪年假;弹性工作;免费班车;美女多,车好多旧机动车经纪(北京)有限公司
高级Python开发工程师,3-5年,本科,全职,A轮,北京,20k-40k,交通补助;午餐补助;项目奖金;季度奖金,北京乐信圣文科技有限责任公司
高级Python开发工程师,3-5年,本科,全职,上市公司,北京,20k-30k,行业领先;超长年假;年度旅游,维我软件（上海）有限公司北京分公司
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-30k,股票期权;岗位晋升;弹性工作;绩效奖金,北京陌上花科技有限公司
Python高级开发工程师,3-5年,本科,全职,B轮,北京,18k-36k,股票期权;交通补助;带薪年假;扁平管理,北京第三石科技发展有限公司
python研发工程师,3-5年,本科,全职,不需要融资,北京,15k-30k,带薪年假;定期体检;年终分红;餐补,北京物灵智能科技有限公司
Python 开发工程师,3-5年,本科,全职,上市公司,北京,25k-35k,,奇虎360科技有限公司
python工程师,1年以下,大专,全职,B轮,上海,8k-15k,午餐补助;股票期权;定期体检;弹性工作,北京推想科技有限公司
系统开发工程师（Python）,5-10年,本科,全职,B轮,北京,20k-30k,节日礼物;股票期权;带薪年假;氛围轻松,北京慕华信息科技有限公司
Python开发工程师,3-5年,本科,全职,未融资,北京,20k-30k,年底双薪;股票期权;带薪年假;定期体检,上海淇毓信息科技有限公司
高级Python开发工程师,3-5年,本科,全职,B轮,上海,15k-22k,技能培训;节日礼物;岗位晋升;年度旅游,上海阿牛信息科技有限公司
python开发-武汉,3-5年,本科,全职,A轮,武汉,20k-25k,数字化开发;软件众包事业;结果付酬;实践远程办公,北京云族佳科技有限公司
Python开发工程师,1-3年,本科,全职,A轮,北京,8k-16k,绩效奖金;年底双薪;五险一金;交通补助,人人贷商务顾问（北京）有限公司
PYTHON研发工程师,3-5年,本科,全职,上市公司,北京,25k-35k,股票期权;绩效奖金;带薪年假;定期体检,深圳市麦达数字股份有限公司
Python高级开发工程师,3-5年,本科,全职,不需要融资,郑州,6k-12k,带薪年假;计算机软件;管理规范;定期体检,武汉佰钧成技术有限责任公司
Python开发,1-3年,本科,全职,不需要融资,上海,10k-15k,年底双薪;带薪年假;午餐补助;绩效奖金,上海江村市隐智能科技有限公司
Python研发工程师,5-10年,本科,全职,上市公司,北京,25k-50k,供应链金融;消费金融;众筹业务;支付业务,京东金融
